sgRNA	gene
HGLibA_00438	ACHE
HGLibA_00439	ACIN1
HGLibA_00440	ACIN1
HGLibA_00441	ACIN1
HGLibA_00442	ACKR2
HGLibA_00443	ACKR2
HGLibA_00444	ACKR2
HGLibA_00445	ACKR3
HGLibA_00446	ACKR3
HGLibA_00447	ACKR3
HGLibA_00448	ACKR4
HGLibA_00449	ACKR4
HGLibA_00450	ACKR4
HGLibA_00451	ACLY
HGLibA_00452	ACLY
HGLibA_00453	ACLY
HGLibA_00454	ACMSD
HGLibA_00455	ACMSD
HGLibA_00456	ACMSD
HGLibA_00457	ACN9
HGLibA_00458	ACN9
HGLibA_00459	ACN9
HGLibA_00460	ACO1
HGLibA_00461	ACO1
HGLibA_00462	ACO1
HGLibA_00463	ACO2
HGLibA_00464	ACO2
HGLibA_00465	ACO2
HGLibA_00466	ACOT1
HGLibA_00467	ACOT1
HGLibA_00468	ACOT1
HGLibA_00469	ACOT11
HGLibA_00470	ACOT11
HGLibA_00471	ACOT11
HGLibA_00472	ACOT12
HGLibA_00473	ACOT12
HGLibA_00474	ACOT12
HGLibA_00475	ACOT13
HGLibA_00476	ACOT13
HGLibA_00477	ACOT13
HGLibA_00478	ACOT2
HGLibA_00479	ACOT2
HGLibA_00480	ACOT2
HGLibA_00481	ACOT4
HGLibA_00482	ACOT4
HGLibA_00483	ACOT4
HGLibA_00484	ACOT6
HGLibA_00485	ACOT6
HGLibA_00486	ACOT6
HGLibA_00487	ACOT7
HGLibA_00488	ACOT7
HGLibA_00489	ACOT7
HGLibA_00490	ACOT8
HGLibA_00491	ACOT8
HGLibA_00492	ACOT8
HGLibA_00493	ACOT9
HGLibA_00494	ACOT9
HGLibA_00495	ACOT9
HGLibA_00496	ACOX1
HGLibA_00497	ACOX1
HGLibA_00498	ACOX1
HGLibA_00499	ACOX2
HGLibA_00500	ACOX2
HGLibA_00501	ACOX2
HGLibA_00502	ACOX3
HGLibA_00503	ACOX3
HGLibA_00504	ACOX3
HGLibA_00505	ACOXL
HGLibA_00506	ACOXL
HGLibA_00507	ACOXL
HGLibA_00508	ACP1
HGLibA_00509	ACP1
HGLibA_00510	ACP1
HGLibA_00511	ACP2
HGLibA_00512	ACP2
HGLibA_00513	ACP2
HGLibA_00514	ACP5
HGLibA_00515	ACP5
HGLibA_00516	ACP5
HGLibA_00517	ACP6
HGLibA_00518	ACP6
HGLibA_00519	ACP6
HGLibA_00520	ACPL2
HGLibA_00521	ACPL2
HGLibA_00522	ACPL2
HGLibA_00523	ACPP
HGLibA_00524	ACPP
HGLibA_00525	ACPP
HGLibA_00526	ACPT
HGLibA_00527	ACPT
HGLibA_00528	ACPT
HGLibA_00529	ACR
HGLibA_00530	ACR
HGLibA_00531	ACR
HGLibA_00532	ACRBP
HGLibA_00533	ACRBP
HGLibA_00534	ACRBP
HGLibA_00535	ACRC
HGLibA_00536	ACRC
HGLibA_00537	ACRC
HGLibA_00538	ACRV1
HGLibA_00539	ACRV1
HGLibA_00540	ACRV1
HGLibA_00541	ACSBG1
HGLibA_00542	ACSBG1
HGLibA_00543	ACSBG1
HGLibA_00544	ACSBG2
HGLibA_00545	ACSBG2
HGLibA_00546	ACSBG2
HGLibA_00547	ACSF2
HGLibA_00548	ACSF2
HGLibA_00549	ACSF2
HGLibA_00550	ACSF3
HGLibA_00551	ACSF3
HGLibA_00552	ACSF3
HGLibA_00553	ACSL1
HGLibA_00554	ACSL1
HGLibA_00555	ACSL1
HGLibA_00556	ACSL3
HGLibA_00557	ACSL3
HGLibA_00558	ACSL3
HGLibA_00559	ACSL4
HGLibA_00560	ACSL4
HGLibA_00561	ACSL4
HGLibA_00562	ACSL5
HGLibA_00563	ACSL5
HGLibA_00564	ACSL5
HGLibA_00565	ACSL6
HGLibA_00566	ACSL6
HGLibA_00567	ACSL6
HGLibA_00568	ACSM1
HGLibA_00569	ACSM1
HGLibA_00570	ACSM1
HGLibA_00571	ACSM2A
HGLibA_00572	ACSM2A
HGLibA_00573	ACSM2A
HGLibA_00574	ACSM2B
HGLibA_00575	ACSM2B
HGLibA_00576	ACSM2B
HGLibA_00577	ACSM3
HGLibA_00578	ACSM3
HGLibA_00579	ACSM3
HGLibA_00580	ACSM4
HGLibA_00581	ACSM4
HGLibA_00582	ACSM4
HGLibA_00583	ACSM5
HGLibA_00584	ACSM5
HGLibA_00585	ACSM5
HGLibA_00586	ACSS1
HGLibA_00587	ACSS1
HGLibA_00588	ACSS1
HGLibA_00589	ACSS2
HGLibA_00590	ACSS2
HGLibA_00591	ACSS2
HGLibA_00592	ACSS3
HGLibA_00593	ACSS3
HGLibA_00594	ACSS3
HGLibA_00595	ACTA1
HGLibA_00596	ACTA1
HGLibA_00597	ACTA1
HGLibA_00598	ACTA2
HGLibA_00599	ACTA2
HGLibA_00600	ACTA2
HGLibA_00601	ACTB
HGLibA_00602	ACTB
HGLibA_00603	ACTB
HGLibA_00604	ACTBL2
HGLibA_00605	ACTBL2
HGLibA_00606	ACTBL2
HGLibA_00607	ACTC1
HGLibA_00608	ACTC1
HGLibA_00609	ACTC1
HGLibA_00610	ACTG1
HGLibA_00611	ACTG1
HGLibA_00612	ACTG1
HGLibA_00613	ACTG2
HGLibA_00614	ACTG2
HGLibA_00615	ACTG2
HGLibA_00616	ACTL10
